title,authors,subjects,category,rating,ratings_count,price,year,source,rating_numeric,ratings_count_numeric,content
Ficciones,Jorge Luis Borges,Anachronisms | speculative fiction | subjective idealism | duodecimals | aneurysms | adjectives | hermeticism | philanthropy | cabala | persecution,fiction,4.3421054,38,Not Available,1945,Open Library API,4.3421054,38.0,Ficciones Jorge Luis Borges Anachronisms | speculative fiction | subjective idealism | duodecimals | aneurysms | adjectives | hermeticism | philanthropy | cabala | persecution fiction
Great Sf Heinlein Bxs,Robert A. Heinlein,Hugo Award Winner | award:hugo_award=1962 | award:hugo_award=novel,fiction,3.6470587,68,Not Available,1980,Open Library API,3.6470587,68.0,Great Sf Heinlein Bxs Robert A. Heinlein Hugo Award Winner | award:hugo_award=1962 | award:hugo_award=novel fiction
The Science Fiction Hall of Fame -- Volume One,"Robert Silverberg, Robert A. Heinlein, Arthur C. Clarke, Isaac Asimov, Ray Bradbury","Science fiction | American Science fiction | English Science fiction | Science fiction, american | Science fiction, english | Fiction, science fiction, collections & anthologies | Long Now Manual for Civilization",fiction,4.5,6,Not Available,1970,Open Library API,4.5,6.0,"The Science Fiction Hall of Fame -- Volume One Robert Silverberg, Robert A. Heinlein, Arthur C. Clarke, Isaac Asimov, Ray Bradbury Science fiction | American Science fiction | English Science fiction | Science fiction, american | Science fiction, english | Fiction, science fiction, collections & anthologies | Long Now Manual for Civilization fiction"
Wild seed,Octavia E. Butler,"Fiction in English | Fiction | Sex role | Women healers | African American women | Gender identity | FICTION / Science Fiction | 1000blackgirlbooks | Fiction, science fiction, general | African americans, fiction",fiction,4.5454545,11,Not Available,1980,Open Library API,4.5454545,11.0,"Wild seed Octavia E. Butler Fiction in English | Fiction | Sex role | Women healers | African American women | Gender identity | FICTION / Science Fiction | 1000blackgirlbooks | Fiction, science fiction, general | African americans, fiction fiction"
Smoke and Mirrors,"Neil Gaiman, Richard Chizmar, William Peter Blatty, Kealan Patrick Burke, Brian Keene, Joe Hill, Joe R. Lansdale, Ray Garton","Fantasy | Fiction | Fiction, general | Assassins | Vampires | Asesinos | Asesinato | Ficcion | Murder | Vampiros",fiction,3.75,16,Not Available,1998,Open Library API,3.75,16.0,"Smoke and Mirrors Neil Gaiman, Richard Chizmar, William Peter Blatty, Kealan Patrick Burke, Brian Keene, Joe Hill, Joe R. Lansdale, Ray Garton Fantasy | Fiction | Fiction, general | Assassins | Vampires | Asesinos | Asesinato | Ficcion | Murder | Vampiros fiction"
Trigger Warning,Neil Gaiman,Short stories | Death | Vulnerability (Personality trait) | Identity (Psychology) | Emotions | Fiction | American Ghost stories | Kurzgeschichte | Gespenstergeschichte | Fantastische Literatur,fiction,4.0,15,Not Available,2001,Open Library API,4.0,15.0,Trigger Warning Neil Gaiman Short stories | Death | Vulnerability (Personality trait) | Identity (Psychology) | Emotions | Fiction | American Ghost stories | Kurzgeschichte | Gespenstergeschichte | Fantastische Literatur fiction
An introduction to fiction,"Stanton, Robert, R Stanton, R. Stanton, Robert Stanton",History and criticism | Fiction | Study and teaching,fiction,,,Not Available,1965,Open Library API,,,"An introduction to fiction Stanton, Robert, R Stanton, R. Stanton, Robert Stanton History and criticism | Fiction | Study and teaching fiction"
Cryptonomicon,Neal Stephenson,"Fiction | World War, 1939-1945 | World War, 1939-1945 in fiction | Data encryption (Computer science) | Cryptography | Literature | Science Fiction | Long Now Manual for Civilization | Code and cipher stories | Fiction, technological",fiction,4.5151515,33,Not Available,1999,Open Library API,4.5151515,33.0,"Cryptonomicon Neal Stephenson Fiction | World War, 1939-1945 | World War, 1939-1945 in fiction | Data encryption (Computer science) | Cryptography | Literature | Science Fiction | Long Now Manual for Civilization | Code and cipher stories | Fiction, technological fiction"
Writing Fiction,"Janet Burroway, Susan Weinberg, Elizabeth Stuckey-French, Ned Stuckey-French",Technique | Fiction | Creative writing | Narration (Rhetoric) | Authorship | Creative writing guides | Literary Criticism | Textbooks | Composition & Creative Writing - Fiction | Literary Criticism & Collections / General,fiction,,,Not Available,1982,Open Library API,,,"Writing Fiction Janet Burroway, Susan Weinberg, Elizabeth Stuckey-French, Ned Stuckey-French Technique | Fiction | Creative writing | Narration (Rhetoric) | Authorship | Creative writing guides | Literary Criticism | Textbooks | Composition & Creative Writing - Fiction | Literary Criticism & Collections / General fiction"
Hothouse,"Brian W. Aldiss, Brian W. Aldiss",evolution | Fiction in English | devolution | Fiction | Science Fiction | human evolution | Vegetation and climate | Survival | Carnivorous plants | Rotation,fiction,4.0,3,Not Available,1962,Open Library API,4.0,3.0,"Hothouse Brian W. Aldiss, Brian W. Aldiss evolution | Fiction in English | devolution | Fiction | Science Fiction | human evolution | Vegetation and climate | Survival | Carnivorous plants | Rotation fiction"
The Things They Carried,Tim O'Brien,"Reading Level-Grade 9 | Reading Level-Grade 11 | Reading Level-Grade 10 | Reading Level-Grade 12 | Fiction, short stories (single author) | Veterans, fiction | Fiction, psychological | Vietnam war, 1961-1975, fiction | Fiction, family life | Married people, fiction",fiction,4.3170733,41,Not Available,1990,Open Library API,4.3170733,41.0,"The Things They Carried Tim O'Brien Reading Level-Grade 9 | Reading Level-Grade 11 | Reading Level-Grade 10 | Reading Level-Grade 12 | Fiction, short stories (single author) | Veterans, fiction | Fiction, psychological | Vietnam war, 1961-1975, fiction | Fiction, family life | Married people, fiction fiction"
To your scattered bodies go,Philip José Farmer,"Hugo Award Winner | Fiction in English | award:hugo_award=novel | award:hugo_award=1972 | Science fiction | Riverworld (imaginary place), fiction | Fiction, science fiction, general",fiction,3.5652175,23,Not Available,1971,Open Library API,3.5652175,23.0,"To your scattered bodies go Philip José Farmer Hugo Award Winner | Fiction in English | award:hugo_award=novel | award:hugo_award=1972 | Science fiction | Riverworld (imaginary place), fiction | Fiction, science fiction, general fiction"
Slan,"A. E. van Vogt, Oliver Wyman, Kevin J. Anderson","Fiction | Science Fiction | Fiction, science fiction, general | award:retro_hugo | American Science fiction",fiction,3.4,5,Not Available,1946,Open Library API,3.4,5.0,"Slan A. E. van Vogt, Oliver Wyman, Kevin J. Anderson Fiction | Science Fiction | Fiction, science fiction, general | award:retro_hugo | American Science fiction fiction"
